71_6	294523	294714
61_3	260098	260529
51_0	197710	197988
71_7	294714	294793
61_4	260529	260634
51_1	197988	198497
71_8	294793	295243
61_5	260634	260767
51_2	198497	198743
71_9	295243	295784
61_6	260767	261212
51_3	198743	198988
41_0	132929	133242
61_7	261212	261344
51_4	198988	199280
41_1	133242	133398
61_8	261344	261436
51_5	199280	199576
61_9	261436	261545
51_6	199576	199850
31_0	91967	92062
51_7	199850	200104
51_8	200104	200406
51_9	200406	200797
21_0	51619	52047
21_1	52047	52463
21_2	52463	52639
21_3	52639	52710
11_0	16469	17038
21_4	52710	52917
11_1	17038	17272
21_5	52917	53137
11_2	17272	17457
21_6	53137	53374
11_3	17457	17829
21_7	53374	53605
21_8	53605	53911
21_9	53911	54324
97_10	496364	496450
97_11	496450	496533
97_12	496533	496548
97_13	496548	496971
96_10	467967	468137
97_14	496971	497203
96_11	468137	468314
97_15	497203	497472
96_12	468314	469817
97_16	497472	497975
96_13	469817	470259
95_10	463042	463934
97_17	497975	498129
96_14	470259	470332
95_11	463934	464322
97_18	498129	498594
96_15	470332	470743
95_12	464322	464529
97_19	498594	498810
96_16	470743	470838
95_13	464529	465030
94_10	423649	423913
96_17	470838	471117
95_14	465030	465611
94_11	423913	424382
96_18	471117	471302
95_15	465611	465812
94_12	424382	424644
96_19	471302	471490
95_16	465812	465827
94_13	424644	425462
93_10	419099	419382
95_17	465827	465842
94_14	425462	425757
94_15	425757	426060
94_16	426060	426188
92_10	415317	415580
97_20	498810	499176
94_17	426188	426465
92_11	415580	415842
97_21	499176	499367
94_18	426465	426745
97_22	499367	499540
94_19	426745	427154
91_10	402129	402369
97_23	499540	499769
96_20	471490	471750
91_11	402369	403514
97_24	499769	499921
96_21	471750	472392
91_12	403514	403746
97_25	499921	500015
96_22	472392	472840
91_13	403746	403893
97_26	500015	500309
96_23	472840	473264
91_14	403893	404085
97_27	500309	501231
96_24	473264	473893
91_15	404085	404443
97_28	501231	501303
96_25	473893	474558
91_16	404443	404658
97_29	501303	502261
96_26	474558	474725
94_20	427154	427442
91_17	404658	405010
96_27	474725	475019
94_21	427442	427576
91_18	405010	405025
96_28	475019	475733
94_22	427576	427591
91_19	405025	405303
96_29	475733	476058
94_23	427591	427793
94_24	427793	427870
94_25	427870	428022
94_26	428022	428124
97_30	502261	502355
94_27	428124	428356
97_31	502355	502438
94_28	428356	428427
97_32	502438	502589
94_29	428427	428629
91_20	405303	405544
97_33	502589	502675
96_30	476058	476441
91_21	405544	405781
97_34	502675	502779
96_31	476441	476611
91_22	405781	406339
97_35	502779	502883
96_32	476611	477046
91_23	406339	406444
97_36	502883	503307
96_33	477046	477458
91_24	406444	406554
97_37	503307	503512
96_34	477458	477772
91_25	406554	407513
97_38	503512	503710
96_35	477772	478172
91_26	407513	407661
97_39	503710	503809
96_36	478172	478413
94_30	428629	428733
91_27	407661	407962
96_37	478413	478536
94_31	428733	429125
91_28	407962	408763
96_38	478536	478907
94_32	429125	429596
91_29	408763	409173
96_39	478907	479269
94_33	429596	429809
94_34	429809	429954
94_35	429954	430172
94_36	430172	430364
97_40	503809	504069
94_37	430364	430878
97_41	504069	504551
94_38	430878	431003
97_42	504551	504759
94_39	431003	431340
91_30	409173	409858
97_43	504759	505063
96_40	479269	479610
91_31	409858	409970
97_44	505063	505489
96_41	479610	479692
91_32	409970	410138
97_45	505489	505611
96_42	479692	479849
91_33	410138	410279
97_46	505611	506043
96_43	479849	480204
91_34	410279	410521
97_47	506043	506058
96_44	480204	480552
91_35	410521	410663
96_45	480552	480769
91_36	410663	410747
165_130	746839	747127
96_46	480769	480846
94_40	431340	431650
91_37	410747	410990
165_131	747127	747334
96_47	480846	481428
94_41	431650	432135
91_38	410990	411108
165_132	747334	747351
96_48	481428	481508
94_42	432135	432428
91_39	411108	411299
1_0	580	991
165_133	747351	747368
96_49	481508	481815
94_43	432428	433268
83_10	387111	387274
1_1	991	1257
165_134	747368	747385
94_44	433268	433447
83_11	387274	387382
1_2	1257	1362
94_45	433447	433655
83_12	387382	387626
1_3	1362	1564
94_46	433655	433994
83_13	387626	387755
1_4	1564	1823
94_47	433994	434256
83_14	387755	388184
94_48	434256	434696
83_15	388184	388556
94_49	434696	435129
91_40	411299	411386
83_16	388556	388675
81_10	376803	376945
96_50	481815	482271
91_41	411386	411401
83_17	388675	389415
81_11	376945	377044
96_51	482271	482409
83_18	389415	389430
81_12	377044	377357
96_52	482409	482668
83_19	389430	389627
81_13	377357	377747
80_10	373262	373966
96_53	482668	483866
81_14	377747	378573
80_11	373966	374415
96_54	483866	484450
81_15	378573	378868
80_12	374415	374570
96_55	484450	484801
81_16	378868	378969
80_13	374570	374751
96_56	484801	485133
94_50	435129	435340
81_17	378969	379068
96_57	485133	485752
94_51	435340	435442
81_18	379068	379154
96_58	485752	486094
94_52	435442	435923
81_19	379154	379566
96_59	486094	486211
94_53	435923	436540
83_20	389627	389952
94_54	436540	436973
83_21	389952	390124
94_55	436973	437341
83_22	390124	390253
94_56	437341	437689
83_23	390253	390364
94_57	437689	438075
83_24	390364	390500
94_58	438075	438154
83_25	390500	390678
94_59	438154	438331
83_26	390678	390781
81_20	379566	379950
96_60	486211	486558
83_27	390781	391397
81_21	379950	380329
96_61	486558	486856
81_22	380329	380586
96_62	486856	487103
81_23	380586	380910
96_63	487103	487230
81_24	380910	380925
96_64	487230	487460
81_25	380925	381276
96_65	487460	488389
81_26	381276	381518
165_110	741618	741750
96_66	488389	488916
94_60	438331	438525
81_27	381518	381771
165_111	741750	741935
96_67	488916	489362
94_61	438525	438664
81_28	381771	382114
79_10	367744	367914
165_112	741935	742009
96_68	489362	489975
94_62	438664	438921
81_29	382114	382414
79_11	367914	368690
165_113	742009	742207
96_69	489975	490313
94_63	438921	439096
79_12	368690	368848
165_114	742207	742663
94_64	439096	439224
79_13	368848	368976
78_10	346408	347686
165_115	742663	742941
94_65	439224	439427
79_14	368976	369247
78_11	347686	348541
165_116	742941	742958
94_66	439427	439733
79_15	369247	369506
78_12	348541	348952
165_117	742958	743096
94_67	439733	439833
79_16	369506	369578
78_13	348952	349293
165_118	743096	743236
94_68	439833	440165
79_17	369578	369720
78_14	349293	349650
165_119	743236	743452
94_69	440165	440416
81_30	382414	382806
79_18	369720	370222
78_15	349650	349830
96_70	490313	490568
81_31	382806	382821
79_19	370222	370501
78_16	349830	350109
96_71	490568	490862
81_32	382821	383027
78_17	350109	350530
96_72	490862	491604
81_33	383027	383115
78_18	350530	350680
96_73	491604	492434
78_19	350680	350771
96_74	492434	493112
165_120	743452	743792
94_70	440416	440548
165_121	743792	743957
94_71	440548	441460
79_20	370501	370608
165_122	743957	744197
94_72	441460	441987
165_123	744197	744583
94_73	441987	442171
73_10	319164	320354
165_124	744583	745077
94_74	442171	442251
78_20	350771	351298
73_11	320354	320605
165_125	745077	745292
94_75	442251	442346
78_21	351298	351693
73_12	320605	320780
165_126	745292	745739
94_76	442346	442786
78_22	351693	351872
73_13	320780	321002
72_10	313907	315468
165_127	745739	745858
94_77	442786	442953
78_23	351872	352008
73_14	321002	321165
72_11	315468	316181
165_128	745858	746291
94_78	442953	443237
78_24	352008	352310
73_15	321165	321810
165_129	746291	746839
94_79	443237	443571
78_25	352310	352441
73_16	321810	322340
71_10	295784	296128
78_26	352441	352879
73_17	322340	322574
71_11	296128	296282
78_27	352879	353311
73_18	322574	322900
71_12	296282	296734
78_28	353311	353651
73_19	322900	323591
71_13	296734	297445
78_29	353651	354013
71_14	297445	297855
71_15	297855	298008
71_16	298008	298455
94_80	443571	443652
71_17	298455	298659
94_81	443652	444022
71_18	298659	299203
94_82	444022	444382
71_19	299203	299507
94_83	444382	444718
73_20	323591	323849
94_84	444718	445055
78_30	354013	354371
73_21	323849	324059
94_85	445055	445355
78_31	354371	354722
73_22	324059	324356
94_86	445355	445636
78_32	354722	355022
73_23	324356	324568
94_87	445636	445899
78_33	355022	355204
73_24	324568	324860
94_88	445899	446274
78_34	355204	355598
73_25	324860	325345
94_89	446274	446560
78_35	355598	356067
73_26	325345	325491
71_20	299507	300003
78_36	356067	356264
73_27	325491	325759
71_21	300003	300476
78_37	356264	356708
73_28	325759	326107
71_22	300476	300679
78_38	356708	356983
73_29	326107	326373
71_23	300679	301125
78_39	356983	357101
